,Satellite Name,Launch Date,Launch Site,lat,lon
0,COSMOS 2491 DEB,25 December 2013 00:31,"Plesetsk, Russia",62.927544999999995,40.575023
1,COSMOS 2491 DEB,25 December 2013 00:31,"Plesetsk, Russia",62.927544999999995,40.575023
2,COSMOS 2543,25 November 2019 17:52,"Plesetsk, Russia",62.927544999999995,40.575023
3,COSMOS 2543 (GLONASS,11 December 2019 08:54,"Plesetsk, Russia",62.927544999999995,40.575023
4,FREGAT R/B,11 December 2019 08:54,"Plesetsk, Russia",62.927544999999995,40.575023
5,GONETS M 14 (M26),26 December 2019 23:11,"Plesetsk, Russia",62.927544999999995,40.575023
6,GONETS M 15 (M27),26 December 2019 23:11,"Plesetsk, Russia",62.927544999999995,40.575023
7,GONETS M 16 (M28),26 December 2019 23:11,"Plesetsk, Russia",62.927544999999995,40.575023
8,OBJECT D,26 December 2019 23:11,"Plesetsk, Russia",62.927544999999995,40.575023
9,COSMOS 2491 DEB,25 December 2013 00:31,"Plesetsk, Russia",62.927544999999995,40.575023
10,COSMOS 2491 DEB,25 December 2013 00:31,"Plesetsk, Russia",62.927544999999995,40.575023
11,GONETS M 14 (M26),26 December 2019 23:11,"Plesetsk, Russia",62.927544999999995,40.575023
12,GONETS M 15 (M27),26 December 2019 23:11,"Plesetsk, Russia",62.927544999999995,40.575023
13,GONETS M 16 (M28),26 December 2019 23:11,"Plesetsk, Russia",62.927544999999995,40.575023
14,OBJECT D,26 December 2019 23:11,"Plesetsk, Russia",62.927544999999995,40.575023
15,COSMOS 2491 DEB,25 December 2013 00:31,"Plesetsk, Russia",62.927544999999995,40.575023
16,COSMOS 2491 DEB,25 December 2013 00:31,"Plesetsk, Russia",62.927544999999995,40.575023
17,FLOCK 4P 12,27 November 2019 03:58,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999999
18,FLOCK 4P 4,27 November 2019 03:58,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999999
19,FLOCK 4P 3,27 November 2019 03:58,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999999
20,FLOCK 4P 1,27 November 2019 03:58,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999999
21,FLOCK 4P 8,27 November 2019 03:58,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999999
22,FLOCK 4P 7,27 November 2019 03:58,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999999
23,FLOCK 4P 6,27 November 2019 03:58,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999999
24,FLOCK 4P 5,27 November 2019 03:58,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999999
25,TYVAK-0092,11 December 2019 09:55,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999999
26,Tyvak-0129,11 December 2019 09:55,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999999
27,OBJECT C,11 December 2019 09:55,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999999
28,LEMUR 2 JPGSQUARED,11 December 2019 09:55,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999999
29,QPS-SAR-1 IZANAGI,11 December 2019 09:55,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999999
30,RISAT-2BR1,11 December 2019 09:55,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999999
31,OBJECT G,11 December 2019 09:55,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999999
32,IHOPSAT-TD,11 December 2019 09:55,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999999
33,LEMUR 2 HIMOMANDDAD,11 December 2019 09:55,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999999
34,LEMUR 2 PAPPY,11 December 2019 09:55,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999999
35,PSLV R/B,11 December 2019 09:55,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999999
36,LEMUR 2 THEODOSIA,11 December 2019 09:55,"Satish Dhawan Space Centre (SHAR), India",13.733270999999998,80.23444599999999
