,Unnamed: 0,Satellite Name,Launch Date,Launch Site
0,44912,COSMOS 2491 DEB,25 December 2013 00:31,"Plesetsk, Russia"
1,44913,COSMOS 2491 DEB,25 December 2013 00:31,"Plesetsk, Russia"
2,44810,FLOCK 4P 12,27 November 2019 03:58,"Satish Dhawan Space Centre (SHAR), India"
3,44811,FLOCK 4P 4,27 November 2019 03:58,"Satish Dhawan Space Centre (SHAR), India"
4,44812,FLOCK 4P 3,27 November 2019 03:58,"Satish Dhawan Space Centre (SHAR), India"
5,44814,FLOCK 4P 1,27 November 2019 03:58,"Satish Dhawan Space Centre (SHAR), India"
6,44815,FLOCK 4P 8,27 November 2019 03:58,"Satish Dhawan Space Centre (SHAR), India"
7,44816,FLOCK 4P 7,27 November 2019 03:58,"Satish Dhawan Space Centre (SHAR), India"
8,44817,FLOCK 4P 6,27 November 2019 03:58,"Satish Dhawan Space Centre (SHAR), India"
9,44818,FLOCK 4P 5,27 November 2019 03:58,"Satish Dhawan Space Centre (SHAR), India"
10,44819,GAOFEN 12,27 November 2019 23:52,"Taiyuan Space Launch Center, China"
11,44820,CZ-4C R/B,27 November 2019 23:52,"Taiyuan Space Launch Center, China"
12,44821,DRAGON CRS-19,05 December 2019 17:29,"Cape Canaveral Air Force Station, United States"
13,44822,DRAGON CRS-19 DEB,05 December 2019 17:29,"Cape Canaveral Air Force Station, United States"
14,44823,DRAGON CRS-19 DEB,05 December 2019 17:29,"Cape Canaveral Air Force Station, United States"
15,44824,ALE-2,06 December 2019 08:18,Electron
16,44825,ELECTRON KICK STAGE R/B,06 December 2019 08:18,Electron
17,44826,ELECTRON R/B,06 December 2019 08:18,Electron
18,44827,NOOR 1A,06 December 2019 08:18,Electron
19,44828,NOOR 1B,06 December 2019 08:18,Electron
20,44829,FOSSASAT-1,06 December 2019 08:18,Electron
21,44830,TRSI,06 December 2019 08:18,Electron
22,44831,ATL-1,06 December 2019 08:18,Electron
23,44832,SMOG-P,06 December 2019 08:18,Electron
24,44833,PROGRESS MS-13,06 December 2019 09:34,"Baikonur Cosmodrome, Kazakhstan"
25,44834,SL-4 R/B,06 December 2019 09:34,"Baikonur Cosmodrome, Kazakhstan"
26,44835,COSMOS 2543,25 November 2019 17:52,"Plesetsk, Russia"
27,44836,JILIN-01 GAOFEN 2B,07 December 2019 02:55,"Taiyuan Space Launch Center, China"
28,44837,KZ-1A R/B,07 December 2019 02:55,"Taiyuan Space Launch Center, China"
29,44838,OBJECT A,07 December 2019 08:52,"Taiyuan Space Launch Center, China"
30,44839,OBJECT B,07 December 2019 08:52,"Taiyuan Space Launch Center, China"
